#Platform	Dataset	Callset	remapped_HG002_HG003_HG004_allsvs_merged.bed	AllRepeats_gt200bp_gt95identity_merged.bed.gz	hg38_self_chain_withalts_gt10k.bed.gz	SimpleRepeat_imperfecthomopolgt10_slop5.bed	remapped_superdupsmerged_all_sort.bed	AllRepeats_lt51bp_gt95identity_merged.bed.gz	AllRepeats_51to200bp_gt95identity_merged.bed.gz
10X	10XChromium	10XSentieonhaplo	1	1	0	1	1	1	1
CG	CGnormal	CGnormal	1	1	1	1	1	0	1
Illumina	HiSeqMatePair	HiSeqMatePairSentieon	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250Sentieon	1	1	1	0	1	0	0
Illumina	HiSeq250x250	HiSeq250x250freebayes	1	1	1	1	1	1	1
