#Platform	Dataset	Callset	HG005_FB_GATKHC_CG_allsvs_merged.bed	AllRepeats_gt200bp_gt95identity_merged_sort.bed	hg19_self_chain_split_withalts_gt10k.bed.gz	SimpleRepeat_imperfecthomopolgt10_slop5.bed.gz	superdupsmerged_all_sort.bed	mm-2-merged.bed	AllRepeats_lt51bp_gt95identity_merged_slop5.bed.gz	AllRepeats_51to200bp_gt95identity_merged_slop5.bed.gz
10X	10XChromium	10XSentieonhaplo	1	1	0	1	1	0	1	1
CG	CGnormal	CGnormal	1	1	1	1	1	1	0	1
Illumina	HiSeq250x250	HiSeq250x250freebayes	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250Sentieon	1	1	1	0	1	1	0	0
Illumina	HiSeqMatePair	HiSeqMatePairSentieon	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	1	1	1	1	1	1	1	1
